Hydration Score Energy Score =,(Carbs Loss + Salts Loss) / 2 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Hydration Score =,1- (Hydration Score Energy Loss),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Health Score Energy Loss =,(Carbs loss + PH average loss + Salts loss + Urea loss)/4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Health Score =,1- (Health Score Energy Loss),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Carbs,,,,PH Average,,,,Salts,,,,Urea,,,,Example Numbers ONLY,,,
,,,,,,9.35,31.50%,0.22%,,45.5,47.60%,0.08%,,,,,,,,,
,,,,,,9.36,31.28%,0.22%,,45.6,47.68%,0.08%,,,,,,,,,
,,,,,,9.37,31.06%,0.22%,,45.7,47.76%,0.08%,,,,,,,,,
,,,,,,9.38,30.84%,0.22%,,45.8,47.83%,0.08%,,,,,,,,,
,,,,,,9.39,30.62%,0.22%,,45.9,47.91%,0.08%,,,,,,,,,
,,,,,,9.4,30.40%,0.22%,,46,47.98%,0.08%,,,,,,,,,
,,,,,,9.41,30.18%,0.22%,,46.1,48.06%,0.08%,,,,,,,,,
,,,,,,9.42,29.96%,0.22%,,46.2,48.14%,0.08%,,,,,,,,,
,,,,,,9.43,29.74%,0.22%,,46.3,48.21%,0.08%,,,,,,,,,
,,,,,,9.44,29.52%,0.22%,,46.4,48.29%,0.08%,,,,,,,,,
,,,,,,9.45,29.30%,0.22%,,46.5,48.37%,0.08%,,,,,,,,,
,,,,,,9.46,29.08%,0.22%,,46.6,48.44%,0.08%,,,,,,,,,
,,,,,,9.47,28.86%,0.22%,,46.7,48.52%,0.08%,,,,,,,,,
,,,,,,9.48,28.64%,0.22%,,46.8,48.60%,0.08%,,,,,,,,,
,,,,,,9.49,28.42%,0.22%,,46.9,48.67%,0.08%,,,,,,,,,
,,,,,,9.5,28.20%,0.22%,,47,48.75%,0.08%,,,,,,,,,
,,,,,,9.51,27.98%,0.22%,,47.1,48.82%,0.08%,,,,,,,,,
,,,,,,9.52,27.76%,0.22%,,47.2,48.90%,0.08%,,,,,,,,,
,,,,,,9.53,27.54%,0.22%,,47.3,48.98%,0.08%,,,,,,,,,
,,,,,,9.54,27.32%,0.22%,,47.4,49.05%,0.08%,,,,,,,,,
,,,,,,9.55,27.10%,0.22%,,47.5,49.13%,0.08%,,,,,,,,,
,,,,,,9.56,26.88%,0.22%,,47.6,49.21%,0.08%,,,,,,,,,
,,,,,,9.57,26.66%,0.22%,,47.7,49.28%,0.08%,,,,,,,,,
,,,,,,9.58,26.44%,0.22%,,47.8,49.36%,0.08%,,,,,,,,,
,,,,,,9.59,26.22%,0.22%,,47.9,49.44%,0.08%,,,,,,,,,
,,,,,,9.6,26.00%,0.22%,,48,49.51%,0.08%,,,,,,,,,
,,,,,,9.61,25.78%,0.22%,,48.1,49.59%,0.08%,,,,,,,,,
,,,,,,9.62,25.56%,0.22%,,48.2,49.66%,0.08%,,,,,,,,,
,,,,,,9.63,25.34%,0.22%,,48.3,49.74%,0.08%,,,,,,,,,
,,,,,,9.64,25.12%,0.22%,,48.4,49.82%,0.08%,,,,,,,,,
,,,,,,9.65,24.90%,0.22%,,48.5,49.89%,0.08%,,,,,,,,,
,,,,,,9.66,24.68%,0.22%,,48.6,49.97%,0.08%,,,,,,,,,
,,,,,,9.67,24.46%,0.22%,,48.7,50.05%,0.08%,,,,,,,,,
,,,,,,9.68,24.24%,0.22%,,48.8,50.12%,0.08%,,,,,,,,,
,,,,,,9.69,24.02%,0.22%,,48.9,50.20%,0.08%,,,,,,,,,
,,,,,,9.7,23.80%,0.22%,,49,50.27%,0.08%,,,,,,,,,
,,,,,,9.71,23.58%,0.22%,,49.1,50.35%,0.08%,,,,,,,,,
,,,,,,9.72,23.36%,0.22%,,49.2,50.43%,0.08%,,,,,,,,,
,,,,,,9.73,23.14%,0.22%,,49.3,50.50%,0.08%,,,,,,,,,
,,,,,,9.74,22.92%,0.22%,,49.4,50.58%,0.08%,,,,,,,,,
,,,,,,9.75,22.70%,0.22%,,49.5,50.66%,0.08%,,,,,,,,,
,,,,,,9.76,22.48%,0.22%,,49.6,50.73%,0.08%,,,,,,,,,
,,,,,,9.77,22.26%,0.22%,,49.7,50.81%,0.08%,,,,,,,,,
,,,,,,9.78,22.04%,0.22%,,49.8,50.89%,0.08%,,,,,,,,,
,,,,,,9.79,21.82%,0.22%,,49.9,50.96%,0.08%,,,,,,,,,
,,,,,,9.8,21.60%,0.22%,,50,51.04%,0.08%,,,,,,,,,
,,,,,,9.81,21.38%,0.22%,,50.1,51.11%,0.08%,,,,,,,,,
,,,,,,9.82,21.16%,0.22%,,50.2,51.19%,0.08%,,,,,,,,,
,,,,,,9.83,20.94%,0.22%,,50.3,51.27%,0.08%,,,,,,,,,
,,,,,,9.84,20.72%,0.22%,,50.4,51.34%,0.08%,,,,,,,,,
,,,,,,9.85,20.50%,0.22%,,50.5,51.42%,0.08%,,,,,,,,,
,,,,,,9.86,20.28%,0.22%,,50.6,51.50%,0.08%,,,,,,,,,
,,,,,,9.87,20.06%,0.22%,,50.7,51.57%,0.08%,,,,,,,,,
,,,,,,9.88,19.84%,0.22%,,50.8,51.65%,0.08%,,,,,,,,,
,,,,,,9.89,19.62%,0.22%,,50.9,51.73%,0.08%,,,,,,,,,
,,,,,,9.9,19.40%,0.22%,,51,51.80%,0.08%,,,,,,,,,
,,,,,,9.91,19.18%,0.22%,,51.1,51.88%,0.08%,,,,,,,,,
,,,,,,9.92,18.96%,0.22%,,51.2,51.95%,0.08%,,,,,,,,,
,,,,,,9.93,18.74%,0.22%,,51.3,52.03%,0.08%,,,,,,,,,
,,,,,,9.94,18.52%,0.22%,,51.4,52.11%,0.08%,,,,,,,,,
,,,,,,9.95,18.30%,0.22%,,51.5,52.18%,0.08%,,,,,,,,,
,,,,,,9.96,18.08%,0.22%,,51.6,52.26%,0.08%,,,,,,,,,
,,,,,,9.97,17.86%,0.22%,,51.7,52.34%,0.08%,,,,,,,,,
,,,,,,9.98,17.64%,0.22%,,51.8,52.41%,0.08%,,,,,,,,,
,,,,,,9.99,17.42%,0.22%,,51.9,52.49%,0.08%,,,,,,,,,
,,,,,,10,17.20%,0.22%,,52,52.56%,0.08%,,,,,,,,,
,,,,,,,,,,52.1,52.64%,0.08%,,,,,,,,,
,,,,,,,,,,52.2,52.72%,0.08%,,,,,,,,,
,,,,,,,,,,52.3,52.79%,0.08%,,,,,,,,,
,,,,,,,,,,52.4,52.87%,0.08%,,,,,,,,,
,,,,,,,,,,52.5,52.95%,0.08%,,,,,,,,,
,,,,,,,,,,52.6,53.02%,0.08%,,,,,,,,,
,,,,,,,,,,52.7,53.10%,0.08%,,,,,,,,,
,,,,,,,,,,52.8,53.18%,0.08%,,,,,,,,,
,,,,,,,,,,52.9,53.25%,0.08%,,,,,,,,,
,,,,,,,,,,53,53.33%,0.08%,,,,,,,,,
,,,,,,,,,,53.1,53.40%,0.08%,,,,,,,,,
,,,,,,,,,,53.2,53.48%,0.08%,,,,,,,,,
,,,,,,,,,,53.3,53.56%,0.08%,,,,,,,,,
,,,,,,,,,,53.4,53.63%,0.08%,,,,,,,,,
,,,,,,,,,,53.5,53.71%,0.08%,,,,,,,,,
,,,,,,,,,,53.6,53.79%,0.08%,,,,,,,,,
,,,,,,,,,,53.7,53.86%,0.08%,,,,,,,,,
,,,,,,,,,,53.8,53.94%,0.08%,,,,,,,,,
,,,,,,,,,,53.9,54.02%,0.08%,,,,,,,,,
,,,,,,,,,,54,54.09%,0.08%,,,,,,,,,
,,,,,,,,,,54.1,54.17%,0.08%,,,,,,,,,
,,,,,,,,,,54.2,54.24%,0.08%,,,,,,,,,
,,,,,,,,,,54.3,54.32%,0.08%,,,,,,,,,
,,,,,,,,,,54.4,54.40%,0.08%,,,,,,,,,
,,,,,,,,,,54.5,54.47%,0.08%,,,,,,,,,
,,,,,,,,,,54.6,54.55%,0.08%,,,,,,,,,
,,,,,,,,,,54.7,54.63%,0.08%,,,,,,,,,
,,,,,,,,,,54.8,54.70%,0.08%,,,,,,,,,
,,,,,,,,,,54.9,54.78%,0.08%,,,,,,,,,
,,,,,,,,,,55,54.85%,0.08%,,,,,,,,,
,,,,,,,,,,55.1,54.93%,0.08%,,,,,,,,,
,,,,,,,,,,55.2,55.01%,0.08%,,,,,,,,,
,,,,,,,,,,55.3,55.08%,0.08%,,,,,,,,,
,,,,,,,,,,55.4,55.16%,0.08%,,,,,,,,,
,,,,,,,,,,55.5,55.24%,0.08%,,,,,,,,,
,,,,,,,,,,55.6,55.31%,0.08%,,,,,,,,,
,,,,,,,,,,55.7,55.39%,0.08%,,,,,,,,,
,,,,,,,,,,55.8,55.47%,0.08%,,,,,,,,,
,,,,,,,,,,55.9,55.54%,0.08%,,,,,,,,,
,,,,,,,,,,56,55.62%,0.08%,,,,,,,,,
,,,,,,,,,,56.1,55.69%,0.08%,,,,,,,,,
,,,,,,,,,,56.2,55.77%,0.08%,,,,,,,,,
,,,,,,,,,,56.3,55.85%,0.08%,,,,,,,,,
,,,,,,,,,,56.4,56%,0.15%,,,,,,,,,
,,,,,,,,,,56.5,56.12%,0.13%,,,,,,,,,
,,,,,,,,,,56.6,56.25%,0.13%,,,,,,,,,
,,,,,,,,,,56.7,56.37%,0.13%,,,,,,,,,
,,,,,,,,,,56.8,56.50%,0.13%,,,,,,,,,
,,,,,,,,,,56.9,56.62%,0.13%,,,,,,,,,
,,,,,,,,,,57,56.75%,0.13%,,,,,,,,,
,,,,,,,,,,57.1,56.87%,0.13%,,,,,,,,,
,,,,,,,,,,57.2,57.00%,0.13%,,,,,,,,,
,,,,,,,,,,57.3,57.12%,0.13%,,,,,,,,,
,,,,,,,,,,57.4,57.25%,0.13%,,,,,,,,,
,,,,,,,,,,57.5,57.37%,0.13%,,,,,,,,,
,,,,,,,,,,57.6,57.50%,0.13%,,,,,,,,,
,,,,,,,,,,57.7,57.62%,0.13%,,,,,,,,,
,,,,,,,,,,57.8,57.74%,0.13%,,,,,,,,,
,,,,,,,,,,57.9,57.87%,0.13%,,,,,,,,,
,,,,,,,,,,58,57.99%,0.13%,,,,,,,,,
,,,,,,,,,,58.1,58.12%,0.13%,,,,,,,,,
,,,,,,,,,,58.2,58.24%,0.13%,,,,,,,,,
,,,,,,,,,,58.3,58.37%,0.13%,,,,,,,,,
,,,,,,,,,,58.4,58.49%,0.13%,,,,,,,,,
,,,,,,,,,,58.5,58.62%,0.13%,,,,,,,,,
,,,,,,,,,,58.6,58.74%,0.13%,,,,,,,,,
,,,,,,,,,,58.7,58.87%,0.13%,,,,,,,,,
,,,,,,,,,,58.8,58.99%,0.13%,,,,,,,,,
,,,,,,,,,,58.9,59.12%,0.13%,,,,,,,,,
,,,,,,,,,,59,59.24%,0.13%,,,,,,,,,
,,,,,,,,,,59.1,59.36%,0.13%,,,,,,,,,
,,,,,,,,,,59.2,59.49%,0.13%,,,,,,,,,
,,,,,,,,,,59.3,59.61%,0.13%,,,,,,,,,
,,,,,,,,,,59.4,59.74%,0.13%,,,,,,,,,
,,,,,,,,,,59.5,59.86%,0.13%,,,,,,,,,
,,,,,,,,,,59.6,59.99%,0.13%,,,,,,,,,
,,,,,,,,,,59.7,60.11%,0.13%,,,,,,,,,
,,,,,,,,,,59.8,60.24%,0.13%,,,,,,,,,
,,,,,,,,,,59.9,60.36%,0.13%,,,,,,,,,
,,,,,,,,,,60,60.49%,0.13%,,,,,,,,,
,,,,,,,,,,60.1,60.61%,0.13%,,,,,,,,,
,,,,,,,,,,60.2,60.74%,0.13%,,,,,,,,,
,,,,,,,,,,60.3,60.86%,0.13%,,,,,,,,,
,,,,,,,,,,60.4,60.98%,0.13%,,,,,,,,,
,,,,,,,,,,60.5,61.11%,0.13%,,,,,,,,,
,,,,,,,,,,60.6,61.23%,0.13%,,,,,,,,,
,,,,,,,,,,60.7,61.36%,0.13%,,,,,,,,,
,,,,,,,,,,60.8,61.48%,0.13%,,,,,,,,,
,,,,,,,,,,60.9,61.61%,0.13%,,,,,,,,,
,,,,,,,,,,61,61.73%,0.13%,,,,,,,,,
,,,,,,,,,,61.1,61.86%,0.13%,,,,,,,,,
,,,,,,,,,,61.2,61.98%,0.13%,,,,,,,,,
,,,,,,,,,,61.3,62.11%,0.13%,,,,,,,,,
,,,,,,,,,,61.4,62.23%,0.13%,,,,,,,,,
,,,,,,,,,,61.5,62.36%,0.13%,,,,,,,,,
,,,,,,,,,,61.6,62.48%,0.13%,,,,,,,,,
,,,,,,,,,,61.7,62.60%,0.13%,,,,,,,,,
,,,,,,,,,,61.8,62.73%,0.13%,,,,,,,,,
,,,,,,,,,,61.9,62.85%,0.13%,,,,,,,,,
,,,,,,,,,,62,62.98%,0.13%,,,,,,,,,
,,,,,,,,,,62.1,63.10%,0.13%,,,,,,,,,
,,,,,,,,,,62.2,63.23%,0.13%,,,,,,,,,
,,,,,,,,,,62.3,63.35%,0.13%,,,,,,,,,
,,,,,,,,,,62.4,63.48%,0.13%,,,,,,,,,
,,,,,,,,,,62.5,63.60%,0.13%,,,,,,,,,
,,,,,,,,,,62.6,63.73%,0.13%,,,,,,,,,
,,,,,,,,,,62.7,63.85%,0.13%,,,,,,,,,
,,,,,,,,,,62.8,63.98%,0.13%,,,,,,,,,
,,,,,,,,,,62.9,64.10%,0.13%,,,,,,,,,
,,,,,,,,,,63,64.22%,0.13%,,,,,,,,,
,,,,,,,,,,63.1,64.35%,0.13%,,,,,,,,,
,,,,,,,,,,63.2,64.47%,0.13%,,,,,,,,,
,,,,,,,,,,63.3,64.60%,0.13%,,,,,,,,,
,,,,,,,,,,63.4,64.72%,0.13%,,,,,,,,,
,,,,,,,,,,63.5,64.85%,0.13%,,,,,,,,,
,,,,,,,,,,63.6,64.97%,0.13%,,,,,,,,,
,,,,,,,,,,63.7,65.10%,0.13%,,,,,,,,,
,,,,,,,,,,63.8,65.22%,0.13%,,,,,,,,,
,,,,,,,,,,63.9,65.35%,0.13%,,,,,,,,,
,,,,,,,,,,64,65.47%,0.13%,,,,,,,,,
,,,,,,,,,,64.1,65.60%,0.13%,,,,,,,,,
,,,,,,,,,,64.2,65.72%,0.13%,,,,,,,,,
,,,,,,,,,,64.3,65.84%,0.13%,,,,,,,,,
,,,,,,,,,,64.4,65.97%,0.13%,,,,,,,,,
,,,,,,,,,,64.5,66.09%,0.13%,,,,,,,,,
,,,,,,,,,,64.6,66.22%,0.13%,,,,,,,,,
,,,,,,,,,,64.7,66.34%,0.13%,,,,,,,,,
,,,,,,,,,,64.8,66.47%,0.13%,,,,,,,,,
,,,,,,,,,,64.9,66.59%,0.13%,,,,,,,,,
,,,,,,,,,,65,66.72%,0.13%,,,,,,,,,
,,,,,,,,,,65.1,66.84%,0.13%,,,,,,,,,
,,,,,,,,,,65.2,66.97%,0.13%,,,,,,,,,
,,,,,,,,,,65.3,67.09%,0.13%,,,,,,,,,
,,,,,,,,,,65.4,67.21%,0.13%,,,,,,,,,
,,,,,,,,,,65.5,67.34%,0.13%,,,,,,,,,
,,,,,,,,,,65.6,67.46%,0.13%,,,,,,,,,
,,,,,,,,,,65.7,67.59%,0.13%,,,,,,,,,
,,,,,,,,,,65.8,67.71%,0.13%,,,,,,,,,
,,,,,,,,,,65.9,67.84%,0.13%,,,,,,,,,
,,,,,,,,,,66,67.96%,0.13%,,,,,,,,,
,,,,,,,,,,66.1,68.09%,0.13%,,,,,,,,,
,,,,,,,,,,66.2,68.21%,0.13%,,,,,,,,,
,,,,,,,,,,66.3,68.34%,0.13%,,,,,,,,,
,,,,,,,,,,66.4,68.46%,0.13%,,,,,,,,,
,,,,,,,,,,66.5,68.59%,0.13%,,,,,,,,,
,,,,,,,,,,66.6,68.71%,0.13%,,,,,,,,,
,,,,,,,,,,66.7,68.83%,0.13%,,,,,,,,,
,,,,,,,,,,66.8,68.96%,0.13%,,,,,,,,,
,,,,,,,,,,66.9,69.08%,0.13%,,,,,,,,,
,,,,,,,,,,67,69.21%,0.13%,,,,,,,,,
,,,,,,,,,,67.1,69.33%,0.13%,,,,,,,,,
,,,,,,,,,,67.2,69.46%,0.13%,,,,,,,,,
,,,,,,,,,,67.3,69.58%,0.13%,,,,,,,,,
,,,,,,,,,,67.4,69.71%,0.13%,,,,,,,,,
,,,,,,,,,,67.5,69.83%,0.13%,,,,,,,,,
,,,,,,,,,,67.6,69.96%,0.13%,,,,,,,,,
,,,,,,,,,,67.7,70.08%,0.13%,,,,,,,,,
,,,,,,,,,,67.8,70.21%,0.13%,,,,,,,,,
,,,,,,,,,,67.9,70.33%,0.13%,,,,,,,,,
,,,,,,,,,,68,70.45%,0.13%,,,,,,,,,
,,,,,,,,,,68.1,70.58%,0.13%,,,,,,,,,
,,,,,,,,,,68.2,70.70%,0.13%,,,,,,,,,
,,,,,,,,,,68.3,70.83%,0.13%,,,,,,,,,
,,,,,,,,,,68.4,70.95%,0.13%,,,,,,,,,
,,,,,,,,,,68.5,71.08%,0.13%,,,,,,,,,
,,,,,,,,,,68.6,71.20%,0.13%,,,,,,,,,
,,,,,,,,,,68.7,71.33%,0.13%,,,,,,,,,
,,,,,,,,,,68.8,71.45%,0.13%,,,,,,,,,
,,,,,,,,,,68.9,71.58%,0.13%,,,,,,,,,
,,,,,,,,,,69,71.70%,0.13%,,,,,,,,,
,,,,,,,,,,69.1,71.83%,0.13%,,,,,,,,,
,,,,,,,,,,69.2,71.95%,0.13%,,,,,,,,,
,,,,,,,,,,69.3,72.07%,0.13%,,,,,,,,,
,,,,,,,,,,69.4,72.20%,0.13%,,,,,,,,,
,,,,,,,,,,69.5,72.32%,0.13%,,,,,,,,,
,,,,,,,,,,69.6,72.45%,0.13%,,,,,,,,,
,,,,,,,,,,69.7,72.57%,0.13%,,,,,,,,,
,,,,,,,,,,69.8,72.70%,0.13%,,,,,,,,,
,,,,,,,,,,69.9,72.82%,0.13%,,,,,,,,,
,,,,,,,,,,70,72.95%,0.13%,,,,,,,,,
,,,,,,,,,,70.1,73.07%,0.13%,,,,,,,,,
,,,,,,,,,,70.2,73.20%,0.13%,,,,,,,,,
,,,,,,,,,,70.3,73.32%,0.13%,,,,,,,,,
,,,,,,,,,,70.4,73.45%,0.13%,,,,,,,,,
,,,,,,,,,,70.5,73.57%,0.13%,,,,,,,,,
,,,,,,,,,,70.6,73.69%,0.13%,,,,,,,,,
,,,,,,,,,,70.7,73.82%,0.13%,,,,,,,,,
,,,,,,,,,,70.8,73.94%,0.13%,,,,,,,,,
,,,,,,,,,,70.9,74.07%,0.13%,,,,,,,,,
,,,,,,,,,,71,74.19%,0.13%,,,,,,,,,
,,,,,,,,,,71.1,74.32%,0.13%,,,,,,,,,
,,,,,,,,,,71.2,74.44%,0.13%,,,,,,,,,
,,,,,,,,,,71.3,74.57%,0.13%,,,,,,,,,
,,,,,,,,,,71.4,74.69%,0.13%,,,,,,,,,
,,,,,,,,,,71.5,74.82%,0.13%,,,,,,,,,
,,,,,,,,,,71.6,74.94%,0.13%,,,,,,,,,
,,,,,,,,,,71.7,75.07%,0.13%,,,,,,,,,
,,,,,,,,,,71.8,75.19%,0.13%,,,,,,,,,
,,,,,,,,,,71.9,75.31%,0.13%,,,,,,,,,
,,,,,,,,,,72,75.44%,0.13%,,,,,,,,,
,,,,,,,,,,72.1,75.56%,0.13%,,,,,,,,,
,,,,,,,,,,72.2,75.69%,0.13%,,,,,,,,,
,,,,,,,,,,72.3,75.81%,0.13%,,,,,,,,,
,,,,,,,,,,72.4,75.94%,0.13%,,,,,,,,,
,,,,,,,,,,72.5,76.06%,0.13%,,,,,,,,,
,,,,,,,,,,72.6,76.19%,0.13%,,,,,,,,,
,,,,,,,,,,72.7,76.31%,0.13%,,,,,,,,,
,,,,,,,,,,72.8,76.44%,0.13%,,,,,,,,,
,,,,,,,,,,72.9,76.56%,0.13%,,,,,,,,,
,,,,,,,,,,73,76.69%,0.13%,,,,,,,,,
,,,,,,,,,,73.1,76.81%,0.13%,,,,,,,,,
,,,,,,,,,,73.2,76.93%,0.13%,,,,,,,,,
,,,,,,,,,,73.3,77.06%,0.13%,,,,,,,,,
,,,,,,,,,,73.4,77.18%,0.13%,,,,,,,,,
,,,,,,,,,,73.5,77.31%,0.13%,,,,,,,,,
,,,,,,,,,,73.6,77.43%,0.13%,,,,,,,,,
,,,,,,,,,,73.7,77.56%,0.13%,,,,,,,,,
,,,,,,,,,,73.8,77.68%,0.13%,,,,,,,,,
,,,,,,,,,,73.9,77.81%,0.13%,,,,,,,,,
,,,,,,,,,,74,77.93%,0.13%,,,,,,,,,
,,,,,,,,,,74.1,78.06%,0.13%,,,,,,,,,
,,,,,,,,,,74.2,78.18%,0.13%,,,,,,,,,
,,,,,,,,,,74.3,78.31%,0.13%,,,,,,,,,
,,,,,,,,,,74.4,78.43%,0.13%,,,,,,,,,
,,,,,,,,,,74.5,78.55%,0.13%,,,,,,,,,
,,,,,,,,,,74.6,78.68%,0.13%,,,,,,,,,
,,,,,,,,,,74.7,78.80%,0.13%,,,,,,,,,
,,,,,,,,,,74.8,78.93%,0.13%,,,,,,,,,
,,,,,,,,,,74.9,79.05%,0.13%,,,,,,,,,
,,,,,,,,,,75,79.18%,0.13%,,,,,,,,,
,,,,,,,,,,75.1,79.30%,0.13%,,,,,,,,,
,,,,,,,,,,75.2,79.43%,0.13%,,,,,,,,,
,,,,,,,,,,75.3,79.55%,0.13%,,,,,,,,,
,,,,,,,,,,75.4,79.68%,0.13%,,,,,,,,,
,,,,,,,,,,75.5,79.80%,0.13%,,,,,,,,,
,,,,,,,,,,75.6,79.93%,0.13%,,,,,,,,,
,,,,,,,,,,75.7,80.05%,0.13%,,,,,,,,,
,,,,,,,,,,75.8,80.17%,0.13%,,,,,,,,,
,,,,,,,,,,75.9,80.30%,0.13%,,,,,,,,,
,,,,,,,,,,76,80.42%,0.13%,,,,,,,,,
,,,,,,,,,,76.1,80.55%,0.13%,,,,,,,,,
,,,,,,,,,,76.2,80.67%,0.13%,,,,,,,,,
,,,,,,,,,,76.3,80.80%,0.13%,,,,,,,,,
,,,,,,,,,,76.4,80.92%,0.13%,,,,,,,,,
,,,,,,,,,,76.5,81.05%,0.13%,,,,,,,,,
,,,,,,,,,,76.6,81.17%,0.13%,,,,,,,,,
,,,,,,,,,,76.7,81.30%,0.13%,,,,,,,,,
,,,,,,,,,,76.8,81.42%,0.13%,,,,,,,,,
,,,,,,,,,,76.9,81.55%,0.13%,,,,,,,,,
,,,,,,,,,,77,81.67%,0.13%,,,,,,,,,
,,,,,,,,,,77.1,81.79%,0.13%,,,,,,,,,
,,,,,,,,,,77.2,81.92%,0.13%,,,,,,,,,
,,,,,,,,,,77.3,82.04%,0.13%,,,,,,,,,
,,,,,,,,,,77.4,82.17%,0.13%,,,,,,,,,
,,,,,,,,,,77.5,82.29%,0.13%,,,,,,,,,
,,,,,,,,,,77.6,82.42%,0.13%,,,,,,,,,
,,,,,,,,,,77.7,82.54%,0.13%,,,,,,,,,
,,,,,,,,,,77.8,82.67%,0.13%,,,,,,,,,
,,,,,,,,,,77.9,82.79%,0.13%,,,,,,,,,
,,,,,,,,,,78,82.92%,0.13%,,,,,,,,,
,,,,,,,,,,78.1,83.04%,0.13%,,,,,,,,,
,,,,,,,,,,78.2,83.17%,0.13%,,,,,,,,,
,,,,,,,,,,78.3,83.29%,0.13%,,,,,,,,,
,,,,,,,,,,78.4,83.41%,0.13%,,,,,,,,,
,,,,,,,,,,78.5,83.54%,0.13%,,,,,,,,,
,,,,,,,,,,78.6,83.66%,0.13%,,,,,,,,,
,,,,,,,,,,78.7,83.79%,0.13%,,,,,,,,,
,,,,,,,,,,78.8,83.91%,0.13%,,,,,,,,,
,,,,,,,,,,78.9,84.04%,0.13%,,,,,,,,,
,,,,,,,,,,79,84.16%,0.13%,,,,,,,,,
,,,,,,,,,,79.1,84.29%,0.13%,,,,,,,,,
,,,,,,,,,,79.2,84.41%,0.13%,,,,,,,,,
,,,,,,,,,,79.3,84.54%,0.13%,,,,,,,,,
,,,,,,,,,,79.4,84.66%,0.13%,,,,,,,,,
,,,,,,,,,,79.5,84.79%,0.13%,,,,,,,,,
,,,,,,,,,,79.6,84.91%,0.13%,,,,,,,,,
,,,,,,,,,,79.7,85.03%,0.13%,,,,,,,,,
,,,,,,,,,,79.8,85.16%,0.13%,,,,,,,,,
,,,,,,,,,,79.9,85.28%,0.13%,,,,,,,,,
,,,,,,,,,,80,85.41%,0.13%,,,,,,,,,
